"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"GrubKranawetberg_01_04", 38,"GrubKranawetberg", 5,26, 5.2, 107,68, 61,175,4,3,14.0,53,12.3,47,0.9, 4.0, 80, 1.4, 28,  2.9, 58, 0.2, 0.2,1.922825,29.5,"Symmetric_backed_point","Lower Austria",1, 0.028984910, 0.162460747
"GrubKranawetberg_01_05", 39,"GrubKranawetberg", 4,31, 7.8, 111,76, 70,158,4,3,17.9,57,13.7,44,0.8, 2.8, 70, 1.6, 39,  1.8, 42, 0.2, 0.0,1.967401,29.5,"Microgravette_point","Lower Austria",1,-0.074177182, 0.121246340
"GrubKranawetberg_01_06", 40,"GrubKranawetberg", 7,43, 6.1, 227,66, 96,236,3,3,20.5,47,22.6,52,1.1, 3.5, 50, 3.9, 55,  0.9, 31,-0.2,-1.8,1.903193,29.5,"Microgravette_point","Lower Austria",1,-0.224900385,-0.208240523
"GrubKranawetberg_01_07", 41,"GrubKranawetberg", 6,33, 5.5, 149,71, 75,198,5,3,15.6,47,17.5,53,1.1, 5.3, 87, 0.9, 14,  6.0, 41, 0.5, 0.0,1.919024,29.5,"Microgravette_point","Lower Austria",1, 0.051443070, 0.052069472
"GrubKranawetberg_01_08", 42,"GrubKranawetberg", 6,34, 5.7, 164,68, 76,215,4,3,14.9,43,19.1,56,1.3, 4.9, 81, 1.4, 23,  3.5, 43, 0.2,-0.4,1.945601,29.5,"Symmetric_backed_point","Lower Austria",1,-0.044410280, 0.015470375
"GrubKranawetberg_01_09", 43,"GrubKranawetberg", 6,45, 7.5, 220,68,103,213,4,3,18.2,40,27.2,60,1.5, 4.4, 73, 2.5, 40,  1.8, 30,-0.2,-0.9,1.880961,29.5,"Microgravette_point","Lower Austria",1,-0.307685668,-0.154170888
"GrubKranawetberg_01_10", 44,"GrubKranawetberg", 5,32, 6.4, 136,66, 75,181,4,3,18.2,57,14.4,44,0.8, 3.9, 77, 2.1, 42,  1.8, 49, 0.0, 0.0,1.921235,29.5,"Microgravette_point","Lower Austria",1,-0.141851801, 0.083097428
"GrubKranawetberg_01_11", 45,"GrubKranawetberg", 5,38, 7.6, 170,76, 84,202,4,2,12.3,32,26.1,68,2.1, 3.7, 73, 1.9, 38,  1.9, 34, 0.2,-0.2,2.000838,29.5,"Microgravette_point","Lower Austria",1,-0.087336160, 0.003686247
"GrubKranawetberg_01_12", 46,"GrubKranawetberg", 4,38, 9.5, 129,65, 84,153,4,3,19.1,50,19.5,51,1.0, 3.7, 92, 0.9, 21,  4.2, 32, 0.0,-0.4,1.979387,29.5,"Symmetric_backed_point","Lower Austria",1,-0.389523821, 0.047423828
"GrubKranawetberg_01_13", 47,"GrubKranawetberg", 5,34, 6.8, 145,71, 81,179,2,3,14.4,42,20.5,60,1.4, 1.8, 35, 3.9, 77,  0.5, 40,-0.2, 0.2,2.006869,29.5,"Microgravette_point","Lower Austria",1,-0.128317543, 0.061249982
"GrubKranawetberg_01_14", 48,"GrubKranawetberg", 5,35, 7.0, 132,66, 78,169,4,2, 7.5,21,28.1,80,3.7, 3.0, 59, 2.1, 42,  1.4, 25, 0.0,-1.2,2.000296,29.5,"Symmetric_backed_point","Lower Austria",1,-0.190490608,-0.005703056
"GrubKranawetberg_01_15", 49,"GrubKranawetberg", 5,21, 4.2,  85,73, 50,170,2,3,12.6,60, 8.8,41,0.7, 1.1, 21, 4.0, 80,  0.3, 69,-0.4,-0.4,1.907960,29.5,"Microgravette_point","Lower Austria",1, 0.086912327, 0.154142368
"GrubKranawetberg_01_16", 50,"GrubKranawetberg", 3,35,11.7,  92,78, 79,116,3,3,14.0,40,21.1,60,1.5, 2.1, 70, 1.4, 46,  1.5, 20,-0.2,-0.7,1.935540,29.5,"Shouldered_point","Lower Austria",1,-0.419508526, 0.064618255
"GrubKranawetberg_01_17", 51,"GrubKranawetberg", 3,24, 8.0,  73,78, 55,132,4,2, 8.8,36,16.1,67,1.8, 1.8, 58, 1.9, 64,  0.9, 36, 0.2,-0.4,1.946788,29.5,"Microgravette_point","Lower Austria",1,-0.040646693, 0.193092597
"GrubKranawetberg_01_18", 52,"GrubKranawetberg",14,57, 4.1, 543,63,134,405,2,3,26.8,47,30.4,53,1.1, 4.0, 28,10.7, 76,  0.4, 43,-1.4,-0.7,1.925873,29.5,"Microgravette_point","Lower Austria",1,-0.350844800,-0.572869434
"GrubKranawetberg_01_19", 53,"GrubKranawetberg", 3,24, 8.0,  62,66, 53,116,2,2, 7.5,31,16.7,69,2.2, 0.9, 29, 2.8, 93,  0.3, 29,-0.7,-0.4,1.855941,29.5,"Microgravette_point","Lower Austria",1,-0.333272199, 0.198656712
"GrubKranawetberg_01_20", 54,"GrubKranawetberg", 4,30, 7.5,  98,71, 66,148,4,3,17.5,58,12.8,42,0.7, 2.8, 70, 1.4, 35,  2.0, 42,-0.2,-0.2,1.968270,29.5,"Symmetric_backed_point","Lower Austria",1,-0.165768568, 0.126116056
"GrubKranawetberg_01_21", 55,"GrubKranawetberg", 6,31, 5.2, 155,72, 73,212,2,3,17.0,54,14.2,45,0.8, 1.6, 26, 4.9, 81,  0.3, 61,-0.5, 0.7,1.942250,29.5,"Microgravette_point","Lower Austria",1,-0.039284812, 0.083268463
"GrubKranawetberg_01_22", 56,"GrubKranawetberg", 6,29, 4.8, 138,66, 69,200,3,2,10.5,36,18.9,65,1.8, 3.2, 52, 3.5, 58,  0.9, 38,-0.2,-0.9,1.941745,29.5,"Microgravette_point","Lower Austria",1,-0.048614881, 0.024474193
"GrubKranawetberg_01_23", 57,"GrubKranawetberg", 7,45, 6.4, 249,66,101,246,3,3,22.1,49,23.0,51,1.0, 3.7, 52, 4.0, 57,  0.9, 33, 0.0,-1.1,1.907664,29.5,"Microgravette_point","Lower Austria",1,-0.218763663,-0.187191157
"GrubKranawetberg_01_24", 58,"GrubKranawetberg", 5,36, 7.2, 150,77, 81,185,5,2,12.6,35,23.9,66,1.9, 4.4, 87, 1.1, 21,  4.2, 34, 0.2,-0.4,1.989756,29.5,"Distal_oblique_retouched_point","Lower Austria",1,-0.043297602, 0.010803842
"GrubKranawetberg_01_25", 59,"GrubKranawetberg", 6,33, 5.5, 173,81, 77,224,2,3,15.8,47,17.5,53,1.1, 2.3, 38, 4.0, 67,  0.6, 52, 0.0,-0.9,1.924546,29.5,"Microgravette_point","Lower Austria",1, 0.086917085,-0.046505918
"GrubKranawetberg_01_26", 60,"GrubKranawetberg", 8,45, 5.6, 282,74,102,276,2,3,20.7,46,24.4,54,1.2, 1.6, 19, 6.5, 81,  0.2, 35,-0.7,-1.6,1.908696,29.5,"Microgravette_point","Lower Austria",1,-0.174182294,-0.286086232
"GrubKranawetberg_01_27", 61,"GrubKranawetberg", 5,33, 6.6, 142,73, 74,191,3,4,21.6,65,11.6,35,0.5, 2.6, 52, 2.6, 52,  1.0, 61,-0.2,-0.2,2.006645,29.5,"Microgravette_point","Lower Austria",1,-0.085218669, 0.053100215
"GrubKranawetberg_01_28", 62,"GrubKranawetberg", 6,30, 5.0, 155,73, 71,218,3,2,10.2,33,19.8,66,1.9, 4.0, 67, 2.8, 46,  1.4, 44,-0.2,-0.9,1.949417,29.5,"Microlithic_backed_point","Lower Austria",1, 0.017744022,-0.002660501
"GrubKranawetberg_01_29", 63,"GrubKranawetberg", 5,35, 7.0, 158,70, 78,202,2,2, 8.1,23,27.0,77,3.3, 2.1, 42, 3.9, 77,  0.5, 34,-0.4,-1.1,2.019946,29.5,"Microlithic_backed_point","Lower Austria",1,-0.195365569,-0.024159757
"GrubKranawetberg_02_01", 64,"GrubKranawetberg", 5,20, 4.0,  84,70, 48,175,4,3, 9.8,48,11.1,55,1.1, 3.8, 75, 1.9, 37,  2.0, 50, 0.1,-0.5,1.968116,29.5,"Microlithic_backed_point","Lower Austria",1, 0.154974339, 0.176674829
"GrubKranawetberg_02_02", 65,"GrubKranawetberg", 3,20, 6.7,  56,80, 47,119,2,3,10.1,50,10.1,50,1.0, 1.0, 33, 2.6, 87,  0.4, 48,-0.4, 0.0,1.881968,29.5,"Microlithic_backed_point","Lower Austria",1,-0.003116495, 0.236066786
"GrubKranawetberg_02_03", 66,"GrubKranawetberg", 6,23, 3.8, 100,68, 54,185,4,3,12.4,53,10.8,46,0.9, 4.5, 75, 1.6, 27,  2.8, 53, 0.0, 0.1,1.985019,29.5,"Microlithic_backed_point","Lower Austria",1, 0.128440821, 0.161799420
"GrubKranawetberg_02_04", 67,"GrubKranawetberg", 7,23, 3.3, 124,73, 57,217,2,2, 8.6,37,14.8,64,1.7, 2.2, 32, 4.9, 69,  0.5, 64,-0.4,-0.1,2.011964,29.5,"Microlithic_backed_point","Lower Austria",1, 0.167046546, 0.095100344
"GrubKranawetberg_02_05", 68,"GrubKranawetberg", 3,18, 6.0,  49,81, 42,116,4,3, 9.1,50, 9.6,53,1.1, 2.4, 79, 1.0, 33,  2.4, 45, 0.1,-0.2,1.875626,29.5,"Microlithic_backed_point","Lower Austria",1, 0.137224182, 0.253550635
"GrubKranawetberg_02_06", 69,"GrubKranawetberg", 3,17, 5.7,  40,69, 39,102,4,3, 8.1,47, 9.0,52,1.1, 2.1, 70, 1.0, 33,  2.1, 42, 0.1,-0.2,1.887176,29.5,"Microlithic_backed_point","Lower Austria",1, 0.023416239, 0.289900886
"GrubKranawetberg_02_07", 70,"GrubKranawetberg", 3,22, 7.3,  63,71, 51,123,3,3,10.2,46,12.1,55,1.2, 1.6, 54, 2.2, 75,  0.7, 46,-0.1, 0.2,1.904146,29.5,"Microlithic_backed_point","Lower Austria",1,-0.111740653, 0.254211298
"GrubKranawetberg_02_08", 71,"GrubKranawetberg", 4,18, 4.5,  68,76, 42,161,5,3, 9.6,53, 9.0,50,0.9, 3.8, 93, 1.0, 25,  3.8, 66, 0.1, 0.1,1.937613,29.5,"Microlithic_backed_point","Lower Austria",1, 0.201984336, 0.252208557
"GrubKranawetberg_02_09", 72,"GrubKranawetberg", 3,22, 7.3,  62,73, 51,121,5,3,12.1,55,10.4,47,0.9, 3.0,100, 0.6, 20,  4.8, 53, 0.1, 0.1,1.994970,29.5,"Microlithic_backed_point","Lower Austria",1,-0.038788903, 0.253570225
"GrubKranawetberg_03_01", 73,"GrubKranawetberg", 4,25, 6.2,  99,67, 59,167,3,2, 6.3,25,18.7,74,2.9, 2.6, 64, 2.3, 57,  1.1, 37,-0.2,-0.9,1.979772,29.5,"Microlithic_backed_point","Lower Austria",1,-0.107236275, 0.125328021
"GrubKranawetberg_03_02", 74,"GrubKranawetberg", 4,24, 6.0,  95,74, 55,172,2,3,11.5,47,12.7,52,1.1, 1.3, 33, 3.4, 85,  0.4, 56,-0.2,-0.1,1.957130,29.5,"Microgravette_point","Lower Austria",1, 0.001471578, 0.175510250
"GrubKranawetberg_03_03", 75,"GrubKranawetberg", 3,20, 6.7,  53,72, 45,117,3,3, 9.6,48,11.0,54,1.1, 1.5, 48, 1.8, 60,  0.8, 42,-0.1,-0.5,1.890836,29.5,"Microlithic_backed_point","Lower Austria",1,-0.057142731, 0.232361342
"GrubKranawetberg_03_04", 76,"GrubKranawetberg", 5,26, 5.2, 107,72, 60,178,4,3,12.7,48,13.5,52,1.1, 4.4, 87, 0.9, 17,  5.1, 54, 0.1,-0.1,1.968772,29.5,"Microlithic_backed_point","Lower Austria",1, 0.070647390, 0.138463933
"GrubKranawetberg_03_05", 77,"GrubKranawetberg", 4,18, 4.5,  60,56, 44,136,3,3, 9.1,50, 9.4,52,1.0, 2.7, 67, 1.7, 42,  1.6, 52,-0.1,-0.2,1.948652,29.5,"Microlithic_backed_point","Lower Austria",1,-0.068985374, 0.264969196
"GrubKranawetberg_03_06", 78,"GrubKranawetberg", 4,22, 5.5,  84,74, 50,168,4,2, 6.5,29,15.7,71,2.4, 3.4, 85, 1.3, 33,  2.5, 42, 0.0,-0.7,1.949242,29.5,"Microlithic_backed_point","Lower Austria",1, 0.067389934, 0.165083756
"GrubKranawetberg_04_01", 79,"GrubKranawetberg", 4,20, 5.0,  57,64, 46,123,4,3, 8.4,42,11.9,59,1.4, 2.8, 70, 1.2, 30,  2.3, 32, 0.2,-0.5,1.872564,29.5,"Microgravette_point","Lower Austria",1, 0.006325367, 0.223199655
"GrubKranawetberg_04_02", 80,"GrubKranawetberg", 6,23, 3.8, 112,72, 55,203,2,3,13.9,60, 9.8,42,0.7, 2.1, 35, 4.0, 67,  0.5, 67,-0.4,-0.2,1.928221,29.5,"Microlithic_backed_point","Lower Austria",1, 0.100347251, 0.117423511
