ID,site,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,upper_to_lower_ratio,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,typology,reference,ka_cal_BP,region,filter
Pavlov1_08_05,Pavlov1,5.8,18.5,3.18,74.1,66.0,45,164.6,1.0,0.1,60.2,-0.6,0.3,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_09_01,Pavlov1,4.8,20.2,4.17,69.2,69.0,47,147.3,2.0,5.9,43.8,0.3,-0.3,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_09_02,Pavlov1,6.5,24.6,3.82,118.4,69.0,61,194.1,3.1,10.1,44.5,0.3,-0.9,Bilaterally_retouched_pointed_blade,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_09_03,Pavlov1,6.9,26.4,3.84,130.6,65.0,63,207.3,2.1,50.2,42.1,0.2,-0.9,Bilaterally_retouched_pointed_blade,"Klíma and Svoboda, 1994",30.7,Moravia,1
Petrkovice1a_01_01,Petrkovice1a,15.2,50.3,3.32,563.9,70.0,119,473.9,1.0,1.0,62.3,-0.3,-0.9,Shouldered_point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_02,Petrkovice1a,11.9,31.6,2.67,256.0,66.0,81,316.0,4.9,0.5,38.7,-1.0,-3.4,Shouldered_point,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_03,Petrkovice1a,16.5,57.6,3.48,671.3,67.0,137,490.0,1.2,0.8,54.9,0.6,-0.7,Point,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_04,Petrkovice1a,12.7,37.7,2.96,364.1,72.0,93,391.5,3.6,1.1,56.1,0.0,-1.8,Bilaterally_retouched_pointed_blade,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_05,Petrkovice1a,26.5,61.5,2.32,1090.6,64.0,158,690.3,1.3,2.9,54.7,1.8,-3.5,Bilaterally_retouched_pointed_blade,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_06,Petrkovice1a,21.1,61.5,2.91,987.5,71.0,155,637.1,0.7,0.7,84.2,-0.1,0.0,Point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_07,Petrkovice1a,19.0,51.0,2.69,700.9,72.0,123,569.8,1.1,0.4,63.5,-0.6,-2.3,Bilaterally_retouched_pointed_blade,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_08,Petrkovice1a,14.7,59.8,4.07,632.7,72.0,138,458.5,0.6,0.3,73.1,-1.2,1.4,Microgravette_point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_09,Petrkovice1a,31.3,76.2,2.44,1773.7,73.0,189,938.5,1.5,0.4,71.1,-1.2,-2.5,Microgravette_point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_10,Petrkovice1a,5.6,34.4,6.17,145.7,71.0,76,191.8,2.6,6.7,34.6,0.1,-0.7,Bilaterally_retouched_pointed_blade,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_11,Petrkovice1a,4.5,21.2,4.7,66.9,68.0,49,136.5,1.9,1.1,36.8,0.0,-0.9,Microgravette_point,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_12,Petrkovice1a,31.4,82.1,2.62,1817.2,68.0,200,908.6,1.4,1.1,68.7,0.8,-1.2,Microgravette_point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_13,Petrkovice1a,5.4,32.3,5.97,130.5,69.0,74,176.3,1.9,3.5,31.3,0.2,-1.3,Bilaterally_retouched_pointed_blade,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_14,Petrkovice1a,4.8,28.5,5.88,102.5,62.0,64,160.2,1.7,5.0,28.3,0.1,-1.5,Microgravette_point,"Novák, 2008",27.5,Moravia,1
Petrkovice1a_01_15,Petrkovice1a,20.1,53.5,2.67,797.5,74.0,138,577.9,3.1,1.1,58.4,-0.2,-3.5,Gravette_point,"Novák, 2008",27.5,Moravia,0
Petrkovice1a_01_16,Petrkovice1a,4.4,31.2,7.04,104.6,61.0,70,149.4,2.6,8.9,27.7,-0.1,-0.9,Saw,"Novák, 2008",27.5,Moravia,1
Predmosti1b_01_01,Predmosti1b,19.5,68.9,3.53,889.6,65.0,167,532.7,2.4,1.1,42.3,-0.2,-3.9,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_02,Predmosti1b,14.4,63.9,4.44,648.4,68.0,151,429.4,1.1,1.0,48.1,0.1,-0.8,Awl,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_03,Predmosti1b,5.6,26.6,4.73,127.4,79.0,65,196.0,0.7,0.6,67.4,-0.2,-0.4,Point_on_curved_axis,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_04,Predmosti1b,7.0,31.4,4.48,171.9,75.0,73,235.4,1.1,0.9,53.1,-0.2,-0.5,Gravette_point,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_05,Predmosti1b,8.6,45.0,5.22,290.5,75.0,105,276.6,2.4,1.9,39.7,-0.1,-1.4,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_06,Predmosti1b,19.1,76.8,4.01,1030.3,69.0,176,585.4,2.1,1.4,39.0,0.2,-3.2,Point_on_curved_axis,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_07,Predmosti1b,7.5,34.2,4.57,186.7,68.0,82,227.7,4.4,0.7,32.2,-0.5,-2.1,Gravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_08,Predmosti1b,6.1,27.4,4.47,114.2,66.0,62,184.2,1.9,23.5,34.9,0.5,-0.8,Awl,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_09,Predmosti1b,7.4,42.5,5.76,227.8,70.0,98,232.5,1.1,0.8,39.8,-0.2,-0.8,Awl,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_10,Predmosti1b,9.6,41.8,4.34,303.8,73.0,95,319.8,1.5,1.0,48.4,-0.2,-1.0,Gravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_11,Predmosti1b,11.1,37.0,3.33,236.5,56.0,90,262.8,3.6,3.4,40.2,1.4,-1.8,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_12,Predmosti1b,16.5,58.8,3.56,735.1,74.0,143,514.1,2.9,0.8,48.6,-0.1,-3.4,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_13,Predmosti1b,7.6,23.8,3.11,137.4,77.0,56,245.4,1.1,2.4,68.3,0.4,-0.1,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_14,Predmosti1b,12.1,37.5,3.09,288.9,60.0,92,314.0,0.7,1.4,54.6,0.6,-0.8,Gravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_15,Predmosti1b,7.9,39.0,4.95,227.0,72.0,87,260.9,1.8,2.3,37.0,0.1,-1.2,Gravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_16,Predmosti1b,15.1,56.9,3.76,632.5,72.0,132,479.2,1.6,1.5,49.6,-0.1,-1.5,Notched_piece,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_17,Predmosti1b,9.6,45.4,4.71,312.1,70.0,107,291.7,0.9,1.4,47.4,0.1,-1.0,Awl,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_18,Predmosti1b,18.6,55.0,2.95,773.4,74.0,144,537.0,1.9,2.7,59.3,0.4,-2.6,Awl,"Absolon et al., 1977",30.9,Moravia,0
Predmosti1b_01_19,Predmosti1b,10.2,34.1,3.33,224.6,63.0,79,284.3,1.9,1.3,44.5,0.0,-1.0,Gravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_20,Predmosti1b,9.0,45.4,5.04,286.2,69.0,102,280.6,1.0,1.2,43.3,0.4,-0.6,Awl,"Absolon et al., 1977",30.9,Moravia,1
