"","ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust"
"205","Pavlov1_08_05","Pavlov1",5,18,3.6,73,63,45,162,1,3,9.6,53,9,50,0.9,0.2,4,5.6,111,0,59,-0.5,0.3,2.00969418121825,30.7,"Non_backed_microlith","Moravia",2
"206","Pavlov1_09_01","Pavlov1",4,20,5,69,68,47,146,5,2,6.7,33,13.6,67,2,4.1,102,0.8,19,5.3,43,0.3,-0.3,1.97244392489598,30.7,"Non_backed_microlith","Moravia",1
"207","Pavlov1_09_02","Pavlov1",6,24,4,118,68,60,196,5,2,6.7,27,18,75,2.7,5.8,97,0.6,10,9.6,44,0.3,-1,1.91364793332234,30.7,"Bilaterally_retouched_pointed_blade","Moravia",2
"208","Pavlov1_09_03","Pavlov1",6,26,4.3,131,65,63,207,5,2,8.3,31,18.2,70,2.2,6.9,115,0,0,160,42,0.3,-0.9,1.92609058411806,30.7,"Bilaterally_retouched_pointed_blade","Moravia",2
"209","Petrkovice1a_01_02","Petrkovice1a",15,51,3.4,579,69,121,478,3,3,26,51,25.2,49,1,7.5,50,7.8,52,1,60,-0.2,-1,2.01876009310946,27.5,"Shouldered_point","Moravia",2
"210","Petrkovice1a_01_03","Petrkovice1a",16,58,3.6,692,67,139,497,3,3,26.2,45,32.2,55,1.2,7.4,46,9.4,58,0.8,54,0.5,-0.6,1.91008327081327,27.5,"Point","Moravia",2
"211","Petrkovice1a_01_04","Petrkovice1a",13,38,2.9,379,73,94,403,3,2,8.7,22,29.5,77,3.4,7.4,57,5.6,43,1.3,57,0.2,-1.8,1.96745806129864,27.5,"Bilaterally_retouched_pointed_blade","Moravia",1
"212","Petrkovice1a_01_10","Petrkovice1a",5,35,7,149,70,77,193,5,2,10,28,25.1,71,2.5,4.7,94,0.9,17,5.5,34,0,-0.6,1.93027733190034,27.5,"Bilaterally_retouched_pointed_blade","Moravia",1
"213","Petrkovice1a_01_11","Petrkovice1a",4,21,5.2,68,66,50,136,3,2,7.6,36,14.1,67,1.8,2.6,64,2,51,1.3,35,0,-0.9,1.96173696857156,27.5,"Microgravette_point","Moravia",1
"214","Petrkovice1a_01_13","Petrkovice1a",5,32,6.4,134,68,76,176,4,2,11.3,35,21.6,67,1.9,4.4,88,1.1,21,4.1,30,0.3,-1.3,1.92871179461562,27.5,"Bilaterally_retouched_pointed_blade","Moravia",1
"215","Petrkovice1a_01_14","Petrkovice1a",4,28,7,105,62,65,161,4,2,10.5,37,18.4,65,1.7,4.2,104,0.6,16,6.5,28,0.1,-1.6,1.8496258347993,27.5,"Microgravette_point","Moravia",1
